date,ticker,close,low,high,volume,variation
2023-03-02,CMT,1850.0,1850.0,1919.0,122.0,0.0
2023-03-03,CMT,1850.0,1800.0,1850.0,606.0,0.0
2023-03-06,CMT,1850.0,1800.0,1850.0,606.0,0.0
2023-03-07,CMT,1900.0,1885.0,1900.0,55.0,2.7
2023-03-08,CMT,1890.0,1890.0,1890.0,253.0,-0.53
2023-03-09,CMT,1890.0,1890.0,1890.0,253.0,0.0
2023-03-10,CMT,1849.0,1780.0,1849.0,1241.0,-2.17
2023-03-13,CMT,1849.0,1780.0,1849.0,1241.0,0.0
2023-03-14,CMT,1849.0,1780.0,1849.0,1241.0,0.0
2023-03-15,CMT,1849.0,1780.0,1849.0,1241.0,0.0
2023-03-16,CMT,1849.0,1780.0,1849.0,1241.0,0.0
2023-03-17,CMT,1875.0,1843.0,1895.0,1357.0,1.41
2023-03-20,CMT,1875.0,1843.0,1895.0,1357.0,0.0
2023-03-21,CMT,1875.0,1843.0,1895.0,1357.0,0.0
2023-03-22,CMT,1875.0,1875.0,1875.0,322.0,0.0
2023-03-23,CMT,1880.0,1880.0,1880.0,4.0,0.27
2023-03-24,CMT,1849.0,1849.0,1876.0,25.0,-1.65
2023-03-27,CMT,1815.0,1815.0,1815.0,500.0,-1.84
2023-03-28,CMT,1870.0,1815.0,1870.0,809.0,3.03
2023-03-29,CMT,1870.0,1815.0,1870.0,809.0,0.0
2023-03-30,CMT,1814.0,1814.0,1814.0,10.0,-2.99
2023-03-31,CMT,1780.0,1772.0,1794.0,915.0,-1.87
2023-04-03,CMT,1829.0,1829.0,1830.0,13.0,2.75
2023-04-04,CMT,1829.0,1829.0,1830.0,13.0,0.0
2023-04-05,CMT,1781.0,1781.0,1800.0,432.0,-2.62
2023-04-06,CMT,1781.0,1781.0,1800.0,432.0,0.0
2023-04-07,CMT,1800.0,1796.0,1800.0,1213.0,1.07
2023-04-10,CMT,1800.0,1796.0,1800.0,1213.0,0.0
2023-04-11,CMT,1780.0,1780.0,1780.0,3.0,-1.11
2023-04-12,CMT,1785.0,1760.0,1800.0,2343.0,0.28
2023-04-13,CMT,1790.0,1780.0,1869.0,625.0,0.28
2023-04-14,CMT,1800.0,1800.0,1859.0,204.0,0.56
2023-04-17,CMT,1845.0,1845.0,1845.0,5.0,2.5
2023-04-18,CMT,1906.0,1840.0,1906.0,30.0,3.31
2023-04-19,CMT,1802.0,1802.0,1848.0,552.0,-5.46
2023-04-20,CMT,1790.0,1790.0,1800.0,800.0,-0.67
2023-04-21,CMT,1780.0,1780.0,1790.0,354.0,-0.56
2023-04-25,CMT,1780.0,1780.0,1790.0,354.0,0.0
2023-04-26,CMT,1780.0,1780.0,1790.0,354.0,0.0
2023-04-27,CMT,1780.0,1780.0,1781.0,5.0,0.0
2023-04-28,CMT,1780.0,1740.0,1790.0,176.0,0.0
2023-05-02,CMT,1674.0,1674.0,1750.0,668.0,-5.96
2023-05-03,CMT,1635.0,1600.0,1674.0,256.0,-2.33
2023-05-04,CMT,1650.0,1645.0,1650.0,407.0,0.92
2023-05-05,CMT,1650.0,1645.0,1650.0,407.0,0.0
2023-05-08,CMT,1630.0,1630.0,1635.0,37.0,-1.21
2023-05-09,CMT,1600.0,1600.0,1600.0,132.0,-1.84
2023-05-10,CMT,1610.0,1610.0,1610.0,117.0,0.63
2023-05-11,CMT,1610.0,1610.0,1610.0,100.0,0.0
2023-05-12,CMT,1650.0,1576.0,1696.0,77.0,2.48
2023-05-15,CMT,1650.0,1650.0,1650.0,16.0,0.0
2023-05-16,CMT,1650.0,1650.0,1651.0,406.0,0.0
2023-05-17,CMT,1620.0,1620.0,1621.0,2508.0,-1.82
2023-05-18,CMT,1666.0,1620.0,1666.0,273.0,2.84
2023-05-19,CMT,1655.0,1650.0,1667.0,1143.0,-0.66
2023-05-22,CMT,1655.0,1650.0,1667.0,1143.0,0.0
2023-05-23,CMT,1655.0,1650.0,1667.0,1143.0,0.0
2023-05-24,CMT,1650.0,1650.0,1650.0,862.0,-0.3
2023-05-25,CMT,1684.0,1678.0,1684.0,3.0,2.06
2023-05-26,CMT,1700.0,1688.0,1784.0,2799.0,0.95
2023-05-29,CMT,1740.0,1730.0,1740.0,10.0,2.35
2023-05-30,CMT,1730.0,1690.0,1730.0,379.0,-0.57
2023-05-31,CMT,1729.0,1700.0,1740.0,133.0,-0.06
2023-06-01,CMT,1700.0,1700.0,1700.0,1.0,-1.68
